from,to,date_from,date_to,place_from
"Thomas Sackville, Baron Buckhurst, Earl of Dorset","Sir Robert Cecil, Earl of Salisbury",15990909,15990909,NA
Thomas Windebank,"Sir Robert Cecil, Earl of Salisbury",16000123,16000123,NA
John Dyer,John Gamage,15700101,15731231,NA
"James Stewart, 1st Earl of Moray",Sir William Winter (Wynter),15600128,15600128,NA
Sir William Herbert,"Thomas Cromwell, Earl of Essex",15380914,15380914,Newport
Privy Council,"Charles Brandon, Duke of Suffolk",15430707,15430707,NA
Sir Edmund Uvedale,"Sir William Cecil, Lord Burghley",15950702,15950702,Flushing
Sir Richard Morysine,Privy Council,15530423,15530423,Brussels
Henry Polsted,"Thomas Cromwell, Earl of Essex",15390810,15390810,The Rolls
Thomas Windebank,"Sir William Cecil, Lord Burghley",15620408,15620408,Paris
Queen Elizabeth I,Sir Roger Williams,15910502,15910502,Greenwich
Desiderius Erasmus,"Richard Sampson, Bishop of Coventry and Lichfield",15180301,15180301,Louvain
William Byrd,"Sir William Cecil, Lord Burghley",15810418,15810418,Chester
"Sir William Cecil, Lord Burghley",Vice-Chancellor of Cambridge,15650101,15651231,NA
Mathias Bigundo,Richard Tomson,15910101,15911231,NA
Pietro Bizari,Sir Francis Walsingham,15841006,15841016,Antwerp
Chris. Wilson,Queen Elizabeth I,15950404,15950404,NA
"Thomas Cranmer, Archbishop of Canterbury",Richard Croke,15300101,15301231,NA
Ralph Lane,"Sir William Cecil, Lord Burghley",15940104,15940104,Dublin
Francis Throgmorton,Jean de Tassis,15831203,15831203,NA
Henry VIII,Simon Heynes,15410206,15410206,Hampton Court
Robert Tyrwhyt,"Edward Seymour, Duke of Somerset, Lord Protector",15480125,15480125,NA
Estates General,Queen Elizabeth I,16000321,16000331,NA
Ralph Lane,"Sir William Cecil, Lord Burghley",15970411,15970411,Dublin
"Thomas Jones, Bishop of Meath","Sir Robert Cecil, Earl of Salisbury",16010415,16010415,Dublin
Henry Goodere,Thomas Fanshawe,15580101,16031231,NA
Thomas Middleton,"Sir Robert Cecil, Earl of Salisbury",15931003,15931003,Shenfield
Sir William Browne,"Sir Robert Cecil, Earl of Salisbury",16010723,16010723,NA
Sir Nicholas Parker,Privy Council,15990823,15990823,Pendennis Castle
Capt. M. Dennis,"Sir William Cecil, Lord Burghley",15901007,15901007,Utrecht
Sir Amias Paulet,Queen Elizabeth I,15780526,15780526,Paris
Sir William Browne,"Sir Robert Cecil, Earl of Salisbury",16000517,16000517,Flushing
Geoffrey Fenton,"Sir William Cecil, Lord Burghley",15940702,15940702,Dublin
John Cuerton,Sir Thomas Chaloner (Challoner),15630611,15630611,Bilbao
University of Oxford,Sir Francis Walsingham,15860123,15860123,Oxford
Stephen Vaughan,"William Paget, Lord Paget",15460831,15460831,Antwerp
"Thomas Howard, Duke of Norfolk","Thomas Cromwell, Earl of Essex",15370322,15370322,York
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15670701,15670701,London
Queen Elizabeth I,"Margaret of Austria, Duchess of Parma",15640507,15640507,NA
Henry Lok,"Sir Robert Cecil, Earl of Salisbury",15981020,15981020,NA
William Day,"Sir Robert Cecil, Earl of Salisbury",15960322,15960322,NA
Sir William Fitzwilliam,Privy Council,15730910,15730910,NA
"Francis Russell, Earl of Bedford","Sir William Cecil, Lord Burghley",15640404,15640404,Berwick
Queen Elizabeth I,The Admiral Coligny,15720628,15720628,NA
Queen Elizabeth I,Sir William Russell,15960525,15960525,Roscommon
Sir Henry Wallop,"Sir William Cecil, Lord Burghley",15910409,15910409,Winchester House
"Richard Cox, Bishop of Ely","Sir William Cecil, Lord Burghley",15691231,15691231,NA
"Margaret Tudor, Queen consort of Scotland","Thomas Howard,2nd Duke of Norfolk",15231019,15231019,NA
Robert Bowes,Queen Elizabeth I,15970622,15970622,Edinburgh
"James Stewart, 1st Earl of Moray","Sir William Cecil, Lord Burghley",15591220,15591220,Kinghorn
William Davison,Sir Francis Walsingham,15790116,15790116,NA
Sir William Gerard,Colonel John Zouche,15800805,15800805,NA
"William Grey, Baron Grey of Wilton",Privy Council,15600410,15600410,NA
Queen Elizabeth I,King James VI,15860602,15860602,NA
Mary Princess of Castile,Cardinal Thomas Wolsey,15141113,15141113,Paris
Antonio Perez,"Robert Devereux, Earl of Essex",15951125,15951205,NA
Peter Saltonstall,"Sir Robert Cecil, Earl of Salisbury",16011017,16011017,NA
Richard Butler,"Sir Robert Cecil, Earl of Salisbury",15970908,15970908,NA
Giacomo Zambon,Chiefs of the Ten,15470130,15470130,Venice
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15740228,15740228,Dublin Castle
Privy Council,"William Paget, Lord Paget",15450316,15450316,NA
"John Stewart (Stuart), Duke of Albany","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15160801,15160801,Edinburgh
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15640123,15640123,Castle of St Germain
Privy Council,Eustace Chapuys,15431016,15431016,NA
Sir Walter Stonor,"Thomas Cromwell, Earl of Essex",15380617,15380617,Stonor
Richard Pollard,"Thomas Cromwell, Earl of Essex",15380915,15380915,Reading
Leonard Frier,"Sir William Cecil, Lord Burghley",15900301,15900331,NA
Valentine Dale,"Sir William Cecil, Lord Burghley",15730630,15730630,Paris
"Sir William Cecil, Lord Burghley",Sir Thomas Smith,15630501,15630501,NA
Sir Edward Waterhouse,Sir Francis Walsingham,15801013,15801014,NA
"Thomas Sackville, Baron Buckhurst, Earl of Dorset","Sir Robert Cecil, Earl of Salisbury",16010415,16010415,NA
Walter Pepparde,"Sir William Cecil, Lord Burghley",15631108,15631108,Dublin
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15860512,15860512,NA
"Mary Marten, widow",Sir John Fortescue,15980901,15980901,NA
Francois Van der Delft,"Nicholas de Perrenot, Sieur de Granvelle",15460217,15460217,London
William Davison,Sir Francis Walsingham,15861125,15861125,Court at Richmond
Friar John Hylsey,"Thomas Cromwell, Earl of Essex",15390509,15390509,NA
Geoffrey Fenton,"Sir William Cecil, Lord Burghley",15940201,15940201,Dublin
Nicholas Wotton,Privy Council,15650902,15650902,Bruges
Henry VIII,University of Oxford,15410423,15410423,Greenwich
Queen Elizabeth I,"Frederick IV, Elector Palatine",15990128,15990128,NA
Robert Wingfield,Henry VIII,15170117,15170117,Juliers
High Commissioners,"Thomas Cromwell, Earl of Essex",15370926,15370926,Dublin
"James Hamilton, 3rd Earl of Arran","Sir William Cecil, Lord Burghley",15600128,15600128,NA
Privy Council,Jan Richardot,15941021,15941021,NA
Sir Thomas Moyle,"William Fuller, auditor",15470214,15470214,London
Ottywell Smith,"Sir William Cecil, Lord Burghley",15911206,15911206,Dieppe
George Beverley,Sir John Perrott,15860104,15860104,NA
"Edwin Sandys, Archbishop of York","John Aylmer, Bishop of London",15810501,15810531,NA
"Francis, Duke of Anjou and Alencon","Sir William Cecil, Lord Burghley",15720512,15720512,NA
Sir Francis Godolphin,"Sir Robert Cecil, Earl of Salisbury",15990526,15990526,NA
Sir Henry Wallop,"Sir William Cecil, Lord Burghley",15820205,15820205,Dublin
Sir Noel de Caron,"Sir Robert Cecil, Earl of Salisbury",16020917,16020917,NA
Count Palatine Frederick,Christopher Mont (Mundt),15630221,15630221,Zweitbrucken
Walter Smyth,"Thomas Cromwell, Earl of Essex",15330930,15330930,Scherforde
"Gebhard Truchsess, Elector of Cologne",Queen Elizabeth I,15840701,15840711,Delft
William Lyly,Sir Francis Walsingham,15890712,15890722,Camp before Pontoyse
Robert Pypho,"Sir William Cecil, Lord Burghley",15841112,15841115,Athlone
"Mary, Queen of Scots",De l&#x0027;Aubespine-Chasteauneuf,15860713,15860713,Chartley
George Gilpin,"Sir William Cecil, Lord Burghley",15901106,15901106,Hague
Edward Stafford,Sir Francis Walsingham,15840507,15840507,NA
Patrick Tourner,Ambassador Archibald Douglas,15871205,15871205,NA
Sir Henry Lee,"Sir Robert Cecil, Earl of Salisbury",16000329,16000329,Woodstock Lodge
Eric Count de Hoia et Brockheusen,Henry VIII,15360310,15360310,NA
Cardinal Thomas Wolsey,"William FitzWilliam, 1st Earl of Southampton",15210101,15211231,NA
Sir George Bingham,David Dowde,15891002,15891002,NA
"Mary, Queen of Scots",Queen Elizabeth I,15650330,15650330,Holyrood House
John Husee,"Arthur Plantagenet, Lord Lisle",15340420,15340420,London
"Catherine de'Medici, Queen consort of France",Sir Thomas Smith,15630804,15630804,Ivetot
Cardinal Ridolfo Pio,James V,15370422,15370422,Ferrara
Robert Allatt,"Sir William Cecil, Lord Burghley",15891215,15891225,Venice
Robert Kidman,Nicholas Williamson,15861224,15941224,NA
"George Carew, Earl of Totnes","Sir Robert Cecil, Earl of Salisbury",16020413,16020413,Cork
Justice Nicholas Walshe,Sir William Russell,15960823,15960823,NA
"Thomas Might, victualler","Sir William Cecil, Lord Burghley",15800916,15800916,Dublin
W. Bucton,Sir William Eure,15441213,15441213,Berwick
"Hugh O'Neill, Earl of Tyrone",Privy Council,15940208,15940208,Dungannon
"Cardinal Reginald Pole, Archbishop of Canterbury",Henry VIII,15300513,15300513,Paris
"William Knight, Bishop of Bath and Wells",Cardinal Thomas Wolsey,15260101,15261231,NA
Sir Christopher Hatton,"Sir William Cecil, Lord Burghley",15900101,15901231,NA
"William Stritche, Mayor of Limerick","Sir Robert Cecil, Earl of Salisbury",16000124,16000124,Limerick
William Maitland of Lethington,Lady Livingstone,15730101,15731231,Edinburgh Castle
"John Dymock (c.1493–1585), London merchant and diplomatic agent","Sir William Cecil, Lord Burghley",15620812,15620812,Dunkirk
Sir Nicholas Malby,Sir Francis Walsingham,15801018,15801018,Athlone
"Hugh O'Neill, Earl of Tyrone",Sir Henry Wallop,15940403,15940403,Dungannon
Robert Bowes,"Sir William Cecil, Lord Burghley",15940721,15940721,NA
Nicholas Shaxton,"Thomas Cromwell, Earl of Essex",15380905,15380905,Ramsbury
"Henry Hastings, Earl of Huntingdon","Sir William Cecil, Lord Burghley",15721221,15721221,York
Philip Mowbray,"Sir Robert Cecil, Earl of Salisbury",16010624,16010624,Edinburgh
Sir Walter Ralegh,"Sir Robert Cecil, Earl of Salisbury",15970720,15970720,Plymouth
Sir Thomas Wentworth,"Thomas Cromwell, Earl of Essex",15390101,15391231,NA
Sir Will. Morgan,"Thomas Cromwell, Earl of Essex",15351027,15351027,NA
"John Stewart, 5th Earl of Atholl",Bailiffs of Edinburgh,15820920,15820920,Dunkeld
William Cokesey,John Swifte,15681025,15681025,NA
Christopher Mont (Mundt),"William Paget, Lord Paget",15450813,15450813,Worms
W. C.,Sir William Stanley,15930601,15930611,Rome
William Maitland of Lethington,Sir William Drury,15720608,15720608,NA
"Sir William Cecil, Lord Burghley","Edwin Sandys, Archbishop of York",15870101,15871231,NA
"Adriane de Noyelle, Old Abbess of Bourbourg","Honor Plantagenet, Lady Lisle",15380713,15380713,Bourbourg
Charles De Grave,"Honor Plantagenet, Lady Lisle",15361209,15361209,Saint Omer
Sebastian Giustinian,Council of Ten,15161207,15161207,London
Sir John Fortescue,"Sir Robert Cecil, Earl of Salisbury",16030718,16030718,Hendon
Sir Henry Lee,"Ambrose Dudley, Earl of Warwick",15810201,15810228,NA
Privy Council,Sir John Wallop,15430827,15430827,Ashridge
"Sir William Cecil, Lord Burghley",Sir Henry Sidney,15660708,15660708,Court of St. James
Privy Council,Sir William Fitzwilliam,15880315,15880315,NA
"Thomas Butler, earl of Ormond","Sir Robert Cecil, Earl of Salisbury",16001231,16001231,Callan
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15620331,15620331,Thomas Court by Dublin
Sebastian Giustinian,"Leonardo Loredan, Doge of Venice",15190113,15190113,Lambeth
Edmund Faye,Sir Edward Bellingham,15480101,15481231,NA
Bishop Tunstall,Cardinal Thomas Wolsey,15260616,15260616,Toledo
Richard Douglas,Ambassador Archibald Douglas,15870607,15870607,NA
John Richardson,Queen Elizabeth I,15740802,15740802,NA
"Charles Blount, Baron Mountjoy and Earl of Devonshire","Sir Robert Cecil, Earl of Salisbury",15971025,15971025,Plymouth
"Henry Carey, Lord Hunsdon","Sir William Cecil, Lord Burghley",15700615,15700615,Berwick
Sir Thomas Smith,"Sir William Cecil, Lord Burghley",15650910,15650910,Xaintes
George Gilpin,"Sir William Cecil, Lord Burghley",15930623,15930623,Hague
Richard Tottell,"Sir William Cecil, Lord Burghley",15780101,15781231,NA
Queen Elizabeth I,"Sir Thomas Radcliffe, earl of Sussex",15700106,15700106,NA
"Francis Talbot, Earl of Shrewsbury",Privy Council,15440927,15440927,Darlington
Cardinal Thomas Wolsey,Henry VIII,15210903,15210903,Calais
William Cooke,"Sir Robert Cecil, Earl of Salisbury",16010417,16010417,NA
Sir Thomas Wilkes (Wylkes),"Sir William Cecil, Lord Burghley",15750330,15750330,Heidelberg
"Francis I, King of France",Henry VIII,15290101,15291231,NA
Captan Sarlabos,Scottish Lords,15600917,15600917,Dunbar
Richard Croke,"Hugh Latimer, Bishop of Worcester",15370101,15371231,NA
Eustace Chapuys,Mary Queen Regent of Flanders,15440926,15440926,Boulogne
"Robert Sidney, Earl of Leicester","Sir Robert Cecil, Earl of Salisbury",15971204,15971204,NA
Privy Council,Sir Thomas Chaloner (Challoner),15640409,15640409,Windsor
Giles Lord Chandos,Privy Council,15870322,15870322,Sudeley Castle
John Wode,"Mr. Grey, attorney in Fanshaw's office",15941020,15941020,NA
Anthony Cooke,"Sir William Cecil, Lord Burghley",15810222,15810222,NA
Sir Julius Caesar,"Sir Robert Cecil, Earl of Salisbury",16020915,16020915,NA
Henry VIII,Pope Clement VII,15261023,15261023,Westminster
"Thomas Seymour, Baron Seymour of Sudeley",Henry VIII,15450911,15450911,Portsmouth
John Budden,"Sir Robert Cecil, Earl of Salisbury",16021206,16021206,Shaftesbury
"Henry Carey, Lord Hunsdon","Sir William Cecil, Lord Burghley",15720512,15720512,Berwick
Hew Tootall,"Sir Robert Cecil, Earl of Salisbury",15980101,15981231,NA
"Thomas Howard,2nd Duke of Norfolk",Cardinal Thomas Wolsey,15220912,15220912,Camp beside Ramly
Jury of the Commonalty of Kilkenny,High Commissioners,15371005,15371005,NA
"Peregrine Bertie, Baron Willoughby of Eresby",Sir Francis Walsingham,15880507,15880507,Hague
Captain Rice Mansell,Sir William Russell,15960608,15960608,Carrickfergus
John Mills,Rowland Shafto,15820101,15821231,NA
Hugh Smyth,"William Paget, Lord Paget",15470313,15470313,Calais
Agnus M'Connell of Dunaveg,Sir Henry Bagenal,15940125,15940125,Machair more in Scotland
John Parkyns,"Thomas Cromwell, Earl of Essex",15370101,15371231,NA
"Robert Devereux, Earl of Essex",Queen Elizabeth I,16000621,16000621,NA
Sir William Goryng,"Thomas Cromwell, Earl of Essex",15360626,15360626,Borton
Queen Elizabeth I,Sir Thomas Smith,15640110,15640110,NA
Queen Elizabeth I,"Mary, Queen of Scots",15670630,15670630,Court at Richmond
Sir William Drury,"Sir William Cecil, Lord Burghley",15680409,15680409,Berwick
Sir William Fitzwilliam,Privy Council,15900324,15900324,Dublin Castle
King Frederick II of Denmark and Norway,King James VI,15710309,15710309,Frederiksberg
Queen Mary I,"Sir Thomas Radcliffe, earl of Sussex",15570701,15570731,NA
Sir John Fortescue,Thomas Fanshawe,15931213,15931213,NA
Sir Thomas Fane,"Sir Robert Cecil, Earl of Salisbury",16010808,16010808,Dover Castle
Anthony d&#x0027;Arques,Gilles Langres,15950510,15950520,NA
Sir John Conway,Privy Council,15900131,15900131,Ostend
James Mcconel,Council of Ireland,15460124,15460124,Arnamurchan
"Otto, Duke of Brunswick-L&#x00FC;neburg","Sir William Cecil, Lord Burghley",15600228,15600229,Harburg
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir William Cecil, Lord Burghley",15920702,15920702,London
Francis Knollys,"William Paget, Lord Paget",15470305,15470305,Durham Place
Bishop of Elna,Cardinal Thomas Wolsey,15161009,15161009,London
Privy Council,John Popham,15870613,15870614,NA
Samuel Molyneux,"Sir William Cecil, Lord Burghley",15950419,15950419,NA
Thomas Dalston,Henry VIII,15400501,15400501,Carlisle
"Henry Manners, Earl of Rutland","Sir William Cecil, Lord Burghley",15620511,15620511,York
Sir Francis Walsingham,Sir Ralph Sadler,15841103,15841103,NA
Anthoine Perrenot,"Edmund Bonner, Bishop of London",15420823,15420823,NA
James IV,"King Christian II of Denmark and Norway, King of Sweden and Duke of Holstein",15130101,15131231,NA
"John Maitland, Lord Maitland of Thirlestane","Sir William Cecil, Lord Burghley",15901207,15901207,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15130604,15130604,Brussels
Queen Elizabeth I,"Marino Grimani, Doge of Venice",16021125,16021125,NA
Thomas Randolph,"Henry Carey, Lord Hunsdon",15810214,15810214,Edinburgh
"Sir Robert Cecil, Earl of Salisbury",George Nicholson,15990112,15990112,NA
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15771108,15771108,The Court
Richaeus De Lostolla,"Robert Dudley, Earl of Leicester",15870818,15870818,Dordrecht
Privy Council,Robert Bowes,15960621,15960621,NA
Henry VIII,"Thomas Wharton, Lord Wharton",15441209,15441209,NA
"Matthew Hutton, Archbishop of York","Sir Robert Cecil, Earl of Salisbury",16011005,16011005,Thorpe
Sir Richard Bingham,"Sir William Cecil, Lord Burghley",15940414,15940414,Dublin
John Hackett,Cardinal Thomas Wolsey,15280628,15280628,Mechlin
"Francis Talbot, Earl of Shrewsbury",Queen Katherine Parr,15440728,15440728,Darlington
William Maitland of Lethington,"Sir William Cecil, Lord Burghley",15600502,15600502,Camp before Leith
Simon Mountfort,"Thomas Cromwell, Earl of Essex",15250101,15251231,Canwell
Queen Elizabeth I,Sir Roger Williams,15921020,15921020,NA
"Ambrose Dudley, Earl of Warwick",Privy Council,15621220,15621220,Havre de Grace
Queen Elizabeth I,Sir John Perrott,15840519,15840519,Greenwich
"Thos. Goldwell, prior of Christchurch, Canterbury","Thomas Cromwell, Earl of Essex",15340110,15340110,Canterbury
Stephen Vaughan,"Thomas Cromwell, Earl of Essex",15350904,15350904,London
Thomas Phelippes,"Sir Robert Cecil, Earl of Salisbury",16010821,16010821,NA
Vidame of Chartres,"Sir William Cecil, Lord Burghley",15700421,15700421,London
Cessell Manxell,"Thomas Cromwell, Earl of Essex",15350803,15350803,Belper
"Sir William Cecil, Lord Burghley",Lord Cobham,15841027,15841027,NA
Council of Ireland,Queen Elizabeth I,15740210,15740210,Dublin Castle
Sir Robert Gardener,Privy Council,15980617,15980617,Dublin
"James Stewart, 1st Earl of Moray","Sir William Cecil, Lord Burghley",15691005,15691005,Kelso
Geoffrey Fenton,"Sir William Cecil, Lord Burghley",15870321,15870321,NA
"Wm. Banaster, Mayor of Oxford","Thomas Cromwell, Earl of Essex",15380708,15380708,Oxford
"Maurice of Nassau, Prince of Orange",Queen Elizabeth I,15971112,15971122,NA
Estates General,Sir Thomas Bodley,15890115,15890125,NA
Countess of Northumberland,"Thomas Percy, Earl of Northumberland",15720128,15720128,NA
Sir William Pelham,Sir Francis Walsingham,15800228,15800229,Limerick
Dorset clothiers,"Sir William Cecil, Lord Burghley",15910220,15910220,NA
Sir Henry Killigrew,Sir Nicholas Throckmorton,15601022,15601022,London
Thomas Hannibal,Cardinal Thomas Wolsey,15240509,15240509,Rome
Sir Francis Walsingham,Robert Bowes,15831228,15831228,NA
Sebastian Giustinian,Council of Ten,15160312,15160312,London
Sir Francis Walsingham,"Thomas, Master of Glamis",15850124,15850124,NA
John Mercer,"Sir Robert Cecil, Earl of Salisbury",16020917,16020917,Southampton
Sir Henry Wallop,Sir Francis Walsingham,15850909,15850909,Dublin
Jane Dormer Duchess of Feria,Sir Thomas Chaloner (Challoner),15630515,15630515,Safra
Captain John Throckmorton,"Sir Robert Cecil, Earl of Salisbury",16010630,16010630,Flushing
Anthony Wingfield,Sir Francis Walsingham,15881211,15881211,NA
Council of The North,Sir Thomas Cheyne,15421105,15421105,NA
Loys de Renty,"Arthur Plantagenet, Lord Lisle",15360402,15360402,Saint Omer
Roger Winston,Sir William Fitzwilliam,15740101,15741231,NA
Deputy Governor of Ostend and others,"Sir William Cecil, Lord Burghley",15931006,15931006,Ostend
William Davison,"Sir William Cecil, Lord Burghley",15781229,15781229,Antwerp
George Lawson,"Thomas Cromwell, Earl of Essex",15330101,15331231,NA
King James VI,Queen Elizabeth I,16000804,16000804,Falkland Palace
Sir Thomas Bodley,"Sir William Cecil, Lord Burghley",15921102,15921102,Hague
Dutch Admirality,Robert Beale,15760427,15760518,NA
Mary Basset,"Honor Plantagenet, Lady Lisle",15341108,15341108,Bours
James Sempill of Beltries,"Sir Robert Cecil, Earl of Salisbury",15991103,15991103,London
William Herle,"Sir William Cecil, Lord Burghley",15710404,15710404,NA
Sir Thomas Wilkes (Wylkes),Deputy Governor of Ostend and others,15860923,15860923,Windsor Castle
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15340112,15340112,NA
William Maitland of Lethington,Privy Council,15661118,15661118,Dunbar
John Moore,"Sir Robert Cecil, Earl of Salisbury",16010101,16031231,NA
Mons. De Sillery,"Henry IV, King of France",15980211,15980221,NA
Sir William Drury,"Sir William Cecil, Lord Burghley",15680602,15680602,Berwick
"Philip, Count of Nassau",King Philip II of Spain,15971210,15971220,Brussels
Sir John Conway,Privy Council,15871106,15871106,Ostend
"Robert Devereux, Earl of Essex","Sir Robert Cecil, Earl of Salisbury",15970625,15970625,NA
"Sir Robert Cecil, Earl of Salisbury",George Nicholson,16020706,16020706,NA
"James Hamilton, Earl of Arran, Duke of Chatelherault","Sir William Cecil, Lord Burghley",15651017,15651017,Newcastle-upon-Tyne
"Captain Tomaso Sassetti, London",Sir Francis Walsingham,15821125,15821125,Paris
"Gilbert Talbot, Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15961003,15961003,Rouen
Sir John Smith,"Sir William Cecil, Lord Burghley",15870101,15871231,NA
Tho. Chiverton,Sir Francis Walsingham,15890916,15890916,Cornwall
Sir John Wallop,Privy Council,15431204,15431204,Guisnes
Cardinal Thomas Wolsey,"Richard Sampson, Bishop of Coventry and Lichfield",15150516,15150516,Westminster
Queen Elizabeth I,Sir Francis Englefield,15620510,15620510,Westminster
Sir Richard Wingfield,Cardinal Thomas Wolsey,15170814,15170814,Calais
"Robert Sidney, Earl of Leicester","Sir William Cecil, Lord Burghley",15910306,15910306,Flushing
"Holy Roman Emperor Charles V, (King Charles I of Spain)",Henry VIII,15420813,15420813,Monzon
Gilbert Towle,Ambassador Archibald Douglas,15881106,15881106,NA
"John Arnote, Provost of Edinburgh",Sir Henry Killigrew,15740823,15740823,Edinburgh
Sir Nicholas Throckmorton,Queen Elizabeth I,15621015,15621015,NA
John Husee,"Arthur Plantagenet, Lord Lisle",15390304,15390304,London
Agnes Whitwell,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",15960101,15961231,NA
Sir Noel de Caron,"Sir Robert Cecil, Earl of Salisbury",16020719,16020719,Clapham
King James VI,Queen Elizabeth I,15860826,15860826,Falkland Palace
William Purevey,"Sir Robert Cecil, Earl of Salisbury",15971014,15971014,Higham Ferrers
Adam Loftus,Sir Francis Walsingham,15850809,15850809,Dublin
Nicholas Wotton,Henry VIII,15430507,15430507,Nieuport
"Juan de Silva, Count of Cifuentes","Holy Roman Emperor Charles V, (King Charles I of Spain)",15350304,15350304,Rome
John [Jewell] Bishop of Salisbury,Henry (Heinrich) Bullinger,15590522,15590522,London
"William Thornton or Dent, Abbot of St. Mary, York","Thomas Cromwell, Earl of Essex",15330309,15330309,York
Wm. Darrell,Privy Council,15850323,15850323,NA
Richard Pace,Cardinal Thomas Wolsey,15180325,15180325,Reading
Nicholas Shepard,"Sir William Cecil, Lord Burghley",15720302,15720302,NA
Edward Suliard,Sir Michael Hicks (Hickes),15840101,15841231,NA
George Gilpin,"Robert Dudley, Earl of Leicester",15871106,15871106,Hague
Harry Capell,"Thomas Cromwell, Earl of Essex",15360410,15360410,Nony
"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",Cardinal Thomas Wolsey,15240831,15240831,Newcastle-upon-Tyne
States Envoys,"Sir William Cecil, Lord Burghley",15890815,15890825,London
John Hollway,Privy Council,15860201,15860228,NA
Queen Elizabeth I,"Maurice of Nassau, Prince of Orange",15930314,15930314,Court of St. James
Sir Anthony Knyvet,"Thomas Cromwell, Earl of Essex",15370920,15370920,Hampton Court
Queen Elizabeth I,John Colville,15830514,15830514,NA
"John Russell, Earl of Bedford","Thomas Cromwell, Earl of Essex",15330710,15330710,Streynsham
Sir Horatio Palavicino,"Sir Robert Cecil, Earl of Salisbury",15940328,15940328,London
Sir William Russell,"Sir William Cecil, Lord Burghley",15950818,15950818,Dublin
Adrian Vasseur,Abbot of St. Vaast,15910717,15910727,Nijmegen
"Charles [Stourton], Lord Stourton","Sir William Cecil, Lord Burghley",15670726,15670726,E'Urimurso
Sir Ralph Sadler,Sir Francis Walsingham,15850312,15850312,Tutbury
Council of Scotland,"Henry Clifford, 1st Earl of Cumberland",15260704,15260704,Edinburgh
Colonel Martin Schenck,Sir Henry Killigrew,15880629,15880709,Hague
"William Brereton, 1st Baron Brereton",Privy Council,15970628,15970628,Brereton
M. de la Brosse,Sir James Croft,15600120,15600120,NA
Sir John Perrott,Sir Francis Walsingham,15841204,15841204,Dublin Castle
"Henry IV, King of France","Jean de la Fin, Seigneur de Beauvoir la Nocle",15910409,15910419,Chartres
"Lucas Dillon, Attorney General","Sir William Cecil, Lord Burghley",15880118,15880118,Dublin
Humphrey Guybon,Sir Walter Mildmay,15630128,15890128,NA
"Sir William Cecil, Lord Burghley",Sir Henry Sidney,15670225,15670225,NA
Sir William Eure,Privy Council,15400106,15400106,Berwick
Peter Proby,"Sir William Cecil, Lord Burghley",15960326,15960326,Chester
"William Paget, Lord Paget",Sir William Petre,15460522,15460522,NA
Henry Hovenden,"Hugh O'Neill, Earl of Tyrone",15960627,15960627,Dublin
Sir Horatio Palavicino,Sir Francis Walsingham,15860424,15860424,Frankfurt
Jerome Dachey,M. Javouel,15900917,15900927,NA
"Henry Fitzroy, Duke of Richmond and Somerset",Henry VIII,15260304,15260304,Sheriff Hutton
William Carnsew jun.,"William Turner, doctor of medicine",15880101,15881231,NA
"Tobias Matthew, Archbishop of York","Sir William Cecil, Lord Burghley",15960503,15960503,Durham
"John Taylor, Master of the Rolls",Cardinal Thomas Wolsey,15261224,15261224,Lyons
Lord Thomas Fitzmaurice of Kerry,Commissioners of Munster at Askeaton,15800915,15800915,NA
Sir Richard Bulkeley,"Thomas Cromwell, Earl of Essex",15370225,15370225,Beaumaris
