from,to,date_from,date_to,place_from
Thomas Sutton,John Daniel,16000402,16000410,Charing Cross
"Mary, Queen of Scots",Queen Elizabeth I,15860312,15860312,Tutbury
Sir Francis Walsingham,"Edward Wotton, Lord Wotton of Marley",15850901,15850930,NA
"Marino Grimani, Doge of Venice",Queen Elizabeth I,15960811,15960821,Venice
Serafino Heinodt,Thos. Wilson,16010421,16010501,Cologne
John Mason,Sir William Petre,15540709,15540709,Brussels
William Greenwich,"Sir Robert Cecil, Earl of Salisbury",16010101,16011231,NA
Philip Parys,"Thomas Cromwell, Earl of Essex",15351122,15351122,Farnham
Estates General,Queen Elizabeth I,15960819,15960829,Hague
Privy Council,"Sir William Cecil, Lord Burghley",15600402,15600402,NA
Sir Arthur Gorges,"Sir Robert Cecil, Earl of Salisbury",15961118,15961118,NA
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15831204,15831204,NA
John More,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",16020729,16020729,NA
Edward Stafford,Sir Francis Walsingham,15831229,15831229,Paris
Daniel Rogers,Sir Francis Walsingham,15820101,15821231,NA
James Hudson,Sir Francis Walsingham,15890927,15890927,Edinburgh
Ennius,Sir Francis Walsingham,15720727,15720727,NA
Geoffrey Fenton,"Sir Robert Cecil, Earl of Salisbury",15971105,15971105,Dublin
Jehan Van Oldenbarnevelt,Sir Noel de Caron,15980511,15980521,NA
"Ferdinand I, Holy Roman Emperor",Queen Elizabeth I,15590124,15590124,NA
Privy Council,George Nicholson,16001105,16001105,Court at Richmond
Sir John Gilbert,Sir Francis Walsingham,15881107,15881107,Greenway
Sir Thomas Chaloner (Challoner),Jane Dormer Duchess of Feria,15630619,15630619,Madrid
"Sir Thos. Parry, Treasurer of the Household","Sir William Cecil, Lord Burghley",15521016,15521016,Ashridge
"Matthew Hutton, Archbishop of York","Sir William Cecil, Lord Burghley",15910101,15911231,NA
Capt. Arthur Chichester,"Sir Robert Cecil, Earl of Salisbury",16011020,16011020,Massereene
Almoro Zane,Carlo Scaramelli,16030512,16030522,NA
"William FitzWilliam, 1st Earl of Southampton","Thomas Cromwell, Earl of Essex",15361105,15361105,Windsor
William Frankelayn,"Thomas Cromwell, Earl of Essex",15370930,15370930,Standmere
Sir William Waad,Sir Walter Cope,16020908,16020908,NA
Sir George Carey,Henry Cuffe,16000403,16000403,Dublin
Sir Richard Bingham,Sir William Russell,15960102,15960102,NA
